問題,ジャンル,音楽,ヒント,答え
問題33,10年代J-POP,../../../../audio/吹雪.mp3,テレビアニメ『艦隊これくしょん -艦これ-』のエンディングテーマ,西沢幸奏 吹雪
問題34,10年代J-POP,../../../../audio/名前のない怪物.mp3,テレビアニメ『PSYCHO-PASS サイコパス』のエンディングテーマ,EGOIST 名前のない怪物
問題35,10年代J-POP,../../../../audio/My Soul Your Beats!.mp3,テレビアニメ『Angel Beats!』のオープニングテーマ,Lia My Soul Your Beats!
問題36,10年代J-POP,../../../../audio/だってアタシのヒーロー。.mp3,テレビアニメ『僕のヒーローアカデミア』第2期エンディングテーマ,LISA だってアタシのヒーロー。
問題37,10年代J-POP,../../../../audio/オドループ.mp3,『山田くんと7人の魔女』のコミック第15巻の限定版付属のオリジナルアニメDVDのエンディングテーマ,フレデリック オドループ
問題38,10年代J-POP,../../../../audio/かなしいうれしい.mp3,UHFアニメ『恋と嘘』オープニングテーマ,フレデリック かなしいうれしい
問題39,10年代J-POP,../../../../audio/adrenaline!!!.mp3,テレビアニメ『エロマンガ先生』のエンディングテーマ,TrySail adrenaline!!!
問題40,10年代J-POP,../../../../audio/イロトリドリ.mp3,「ユーキャン通信講座」2013年度CMソング,ゆず イロトリドリ
問題41,10年代J-POP,../../../../audio/ピースサイン.mp3,アニメ『僕のヒーローアカデミア』の第2期第1クールオープニングテーマ,米津玄師 ピースサイン
問題42,10年代J-POP,../../../../audio/ヒカレ.mp3,「日本生命」のCMソング,ゆず ヒカレ
問題43,10年代J-POP,../../../../audio/Lovers.mp3,"フジテレビ系『痛快TV スカッとジャパン""胸キュンスカッと""』テーマソング",sumika Lovers
問題44,10年代J-POP,../../../../audio/フィクション.mp3,フジテレビ ノイタミナ『ヲタクに恋は難しい』オープニング・テーマ,sumika フィクション
問題45,10年代J-POP,../../../../audio/GUTS!.mp3,2014年5月12日付オリコン週間シングルチャートにおいて初登場で1位にランクイン,嵐 GUTS!
問題46,10年代J-POP,../../../../audio/RPG.mp3,アニメ映画『クレヨンしんちゃん バカうまっ!B級グルメサバイバル!!』の主題歌に起用された,SEKAI NO OWARI RPG
問題47,10年代J-POP,../../../../audio/LOSER.mp3,2016年9月14日（水）の夜に米津玄師本人がSNS上で「ちょっとした企画をやります。みんなよろしく（ピース）」という告知した。,米津玄師 LOSER
問題48,10年代J-POP,../../../../audio/スターライトパレード.mp3,表題曲は『第1回「はじめまして、ラジオです。IN 渋谷」』のキャンペーンソングに書き下ろし起用された。,SEKAI NO OWARI スターライトパレード
問題49,10年代J-POP,../../../../audio/新宝島.mp3,『新宝島』はBillboard Japan Hot 100チャートで首位を獲得。,サカナクション 新宝島
問題50,10年代Vocaloid,../../../../audio/惑星ループ.mp3,歌い手「Eve」に描き下ろした曲,ナユタン星人 惑星ループ
問題51,10年代Vocaloid,../../../../audio/砂の惑星.mp3,2017年7月21日よりニコニコ動画・YouTubeにミュージックビデオが公開された。,ハチ・米津玄師 砂の惑星
問題52,10年代Vocaloid,../../../../audio/ダンスロボットダンス.mp3,スマホゲーム『#コンパス 戦闘摂理解析システム』に登場するキャラクター「Voidoll」のテーマソング,ナユタン星人 ダンスロボットダンス
問題53,10年代Vocaloid,../../../../audio/アスノヨゾラ哨戒班.mp3,Youtubeでは4927万回再生 ニコニコ動画では2021年に1000万回再生を記録している,Orangester アスノヨゾラ哨戒班
問題54,10年代Vocaloid,../../../../audio/シャルル.mp3,JOYSOUNDによる2017年発売曲カラオケ総合ランキングで1位を獲得,バルーン シャルル
問題55,80年代バラード,../../../../audio/セカンドラブ.mp3,もともとは大橋純子への提供予定曲であった,中森明菜 セカンドラブ
問題56,80年代J-POP,../../../../audio/リンダリンダ.mp3,作成者は太鼓の達人でいっぱい聞きました！,the blue hearts リンダリンダ
問題57,80年代歌謡曲,../../../../audio/川の流れのように.mp3,2019年時点では205万枚を売り上げ、「柔」を上回り自身最大売上のシングルとなっている。,美空ひばり・テレサ・テン 川の流れのように
問題58,00年代J-POP,../../../../audio/アゲハ蝶.mp3,エフティ資生堂「ティセラ・トコナッツココナッツ」CMソング ライブでは手拍子と「ラララ」の合唱によって会場が一体となる定番曲,ポルノグラフィティ アゲハ蝶
問題59,00年代J-POP,../../../../audio/サウダージ.mp3,初出場となった『第51回NHK紅白歌合戦』では本楽曲を披露　『THE FIRST TAKE』第148回（2021年9月3日公開）では、「一番求められているだろう楽曲」として本楽曲の特別アレンジを披露,ポルノグラフィティ サウダージ
問題60,00年代J-POP,../../../../audio/ミュージックアワー.mp3,大塚製薬「ポカリスエット」2000年度CMソング ライブではサビで手を左右上下に交互に動かす踊りがお馴染みの定番曲の一つ,ポルノグラフィティ ミュージック・アワー
問題61,00年代J-POP,../../../../audio/メリッサ.mp3,アニメ『鋼の錬金術師』のオープニングテーマ オリコンチャートでの登場回数は自己最高となる38週を記録,ポルノグラフィティ メリッサ
問題62,00年代J-POP,../../../../audio/K.mp3,2000年代にFlashアニメとして流行 ローマ字1文字の曲,BUNP OF CHICHEN K
問題63,00年代J-POP,../../../../audio/才悩人応援歌.mp3,才能がないことに悩む人＝『才悩人』を応援する歌,BUNP OF CHICHEN 才悩人応援歌
問題64,00年代J-POP,../../../../audio/ゴールデンタイムラバー.mp3,アニメ『鋼の錬金術師 FULLMETAL ALCHEMIST』第3期オープニングテーマ,スキマスイッチ ゴールデンタイムラバー
問題65,00年代J-POP,../../../../audio/again.mp3,アニメ『鋼の錬金術師 FULLMETAL ALCHEMIST』1stオープニングテーマ,YUI again
問題66,00年代J-POP,../../../../audio/TRAINTRAIN.mp3,学園ドラマ『はいすくーる落書』の主題歌に起用された。,the blue hearts TRAINTRAIN
問題67,00年代J-POP,../../../../audio/人にやさしく.mp3,2002年、香取慎吾主演のフジテレビ系の同名のドラマの挿入歌に起用された。,the blue hearts 人にやさしく
問題68,00年代J-POP,../../../../audio/気まぐれロマンティック.mp3,ミュージックビデオはテクノポップユニット・YMCK製作のドット絵アニメーションが用いる,いきものがかり 気まぐれロマンティック
問題69,00年代J-POP,../../../../audio/SAKURA.mp3,NTT「DENPO115」NTT東日本エリアCMソング,いきものがかり SAKURA
問題70,00年代J-POP,../../../../audio/ブルーバード.mp3,テレビアニメ『NARUTO -ナルト- 疾風伝』オープニングテーマ,いきものがかり ブルバード
